,n_movies,n_cat,time,n_mvoies_watched,n_hours_watched
102,251.0,3.0,0.007003749982686713,6.0,10.0
103,251.0,4.0,0.007196624996140599,6.0,8.0
104,251.0,5.0,0.007339000003412366,12.0,20.0
105,251.0,6.0,0.007515083998441696,15.0,22.0
106,251.0,7.0,0.007248665991937742,13.0,19.0
107,251.0,8.0,0.006750750006176531,17.0,23.0
108,251.0,9.0,0.006984542007558048,13.0,19.0
109,251.0,10.0,0.0072261659952346236,16.0,23.0
110,251.0,11.0,0.007058249990222976,16.0,21.0
111,251.0,12.0,0.007421082991641015,14.0,21.0
112,251.0,13.0,0.0070129589876160026,16.0,20.0
113,251.0,14.0,0.0068797499989159405,15.0,20.0
114,251.0,15.0,0.00697416698676534,16.0,21.0
115,251.0,16.0,0.007066375022986904,13.0,21.0
116,251.0,17.0,0.007020958000794053,14.0,20.0
117,251.0,18.0,0.006750000000465661,14.0,20.0
118,251.0,19.0,0.007453166996128857,13.0,22.0
119,251.0,20.0,0.00728874999913387,14.0,22.0
120,301.0,1.0,0.006801332987379283,1.0,1.0
121,301.0,2.0,0.007163374975789338,3.0,5.0
122,301.0,3.0,0.006939290993614122,7.0,10.0
123,301.0,4.0,0.007041042001219466,8.0,13.0
124,301.0,5.0,0.006929541996214539,12.0,19.0
125,301.0,6.0,0.007234958000481129,16.0,21.0
126,301.0,7.0,0.006998500000918284,12.0,19.0
127,301.0,8.0,0.007138832996133715,14.0,21.0
128,301.0,9.0,0.006947540998226032,19.0,23.0
129,301.0,10.0,0.00688108301255852,14.0,21.0
130,301.0,11.0,0.007071625004755333,13.0,21.0
131,301.0,12.0,0.006815542001277208,15.0,21.0
132,301.0,13.0,0.00717770800110884,15.0,19.0
133,301.0,14.0,0.0071642080147285014,17.0,20.0
134,301.0,15.0,0.00683079200098291,15.0,21.0
135,301.0,16.0,0.007049209001706913,18.0,21.0
136,301.0,17.0,0.007433291000779718,16.0,22.0
137,301.0,18.0,0.007029040978522971,16.0,21.0
138,301.0,19.0,0.006861666013719514,16.0,21.0
139,301.0,20.0,0.0076499579881783575,15.0,22.0
140,351.0,1.0,0.007172750018071383,1.0,2.0
141,351.0,2.0,0.007271042006323114,3.0,4.0
142,351.0,3.0,0.0072044590197037905,5.0,9.0
143,351.0,4.0,0.007119417015928775,12.0,14.0
144,351.0,5.0,0.006877042003907263,13.0,20.0
